industry,industry_category,country,state,sector,size,assessment_year,certification_cycle,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,impact_area_community_na_score,impact_area_customers_na_score,impact_area_environment_na_score,impact_area_governance_na_score,impact_area_workers_na_score,ia_environment_it_air_climate
Management consultant - nonprofits,Professional & technical services,United States,New York,Service, 1-9,2017,1.0,114.0,49.2,10.4,13.4,10.0,28.0,1.0,0.0,0.0,0.0,1.6,2.9
Management consultant - nonprofits,Professional & technical services,United States,New York,Service, 1-9,2016,2.0,90.9,27.2,11.0,12.4,5.5,32.3,0.0,0.0,0.0,0.0,2.6,2.9
Other personal services,Other services,Italy,bergamo,Service, 1-9,2021,1.0,80.1,13.6,4.0,9.9,17.2,23.7,1.9,0.0,0.8,0.0,8.6,3.1
Other info service activities,"Information, communication & technology",Spain,Catalonia,Service, 10-49,2024,1.0,83.4,16.5,7.7,9.6,20.7,23.4,2.4,0.0,0.7,0.0,2.0,2.5
Other info service activities,"Information, communication & technology",Spain,Barcelona,Service, 1-9,2021,2.0,81.9,20.1,2.2,10.8,19.1,20.4,2.8,0.0,1.9,0.0,4.3,3.4
Advertising & market research,Professional & technical services,Chile,Santiago Metropolitan Region,Service, 1-9,2014,1.0,92.3,15.8,0.0,28.4,15.6,27.6,1.4,0.0,1.2,0.0,2.3,2.9
Other info service activities,"Information, communication & technology",United Kingdom,London Borough of Tower Hamlets,Service with Significant Environmental Footprint, 10-49,2024,1.0,130.6,13.3,28.4,8.4,15.9,58.6,3.2,0.0,0.7,0.0,1.9,2.9
Other info service activities,"Information, communication & technology",United Kingdom,London Borough of Tower Hamlets,Service, 10-49,2021,2.0,141.2,16.8,29.2,8.1,17.7,63.8,3.0,0.0,0.0,0.0,2.4,0.8
Other info service activities,"Information, communication & technology",United Kingdom,London Borough of Tower Hamlets,Service, 10-49,2017,3.0,109.1,53.3,9.7,7.0,13.7,23.4,0.5,0.0,0.0,0.0,1.5,2.9
Other info service activities,"Information, communication & technology",United Kingdom,London Borough of Tower Hamlets,Service, 1-9,2015,4.0,83.2,41.2,9.3,3.4,8.7,20.1,0.0,0.0,0.0,0.0,0.5,2.9
Technology-based support services,Human health & social work,Brazil,Sao Paulo,Service, 1-9,2014,1.0,118.8,15.9,58.0,8.2,9.0,24.6,1.7,0.0,0.9,0.0,0.5,2.9
Printing & recorded media,Manufactured Goods,United States,Pennsylvania,Manufacturing, 1-9,2018,1.0,83.1,19.9,4.5,32.7,14.9,14.2,0.0,0.0,0.3,0.0,0.8,2.9
Printing & recorded media,Manufactured Goods,United States,Pennsylvania,Manufacturing, 1-9,2016,2.0,120.3,28.8,0.0,51.7,16.3,23.5,0.0,0.0,0.0,0.0,0.0,2.9
Printing & recorded media,Manufactured Goods,United States,Pennsylvania,Manufacturing, 0,2012,3.0,124.6,48.8,0.0,60.8,11.1,0.0,1.0,0.0,0.0,2.7,0.0,2.9
Printing & recorded media,Manufactured Goods,United States,Pennsylvania,Manufacturing, 1-9,2009,4.0,127.6,15.3,38.6,35.0,12.7,26.0,0.0,0.0,0.0,0.0,0.0,2.9
Food products,Retail,United Kingdom,London,Wholesale/Retail, 50-249,2021,1.0,107.3,24.4,3.8,33.9,16.1,26.5,0.0,0.0,0.0,0.0,2.4,9.5
Food products,Retail,United Kingdom,London,Wholesale/Retail, 10-49,2018,2.0,80.5,23.8,0.0,14.0,15.5,25.8,0.2,0.0,0.0,0.0,1.0,2.9
Other personal services,Other services,Italy,Milano,Service with Significant Environmental Footprint, 1-9,2019,1.0,81.5,21.4,3.8,18.8,13.1,17.3,0.7,0.0,2.0,0.0,4.1,3.1
Other personal services,Other services,Italy,Milano,Wholesale/Retail, 1-9,2016,2.0,80.1,24.8,0.0,31.3,5.6,16.4,0.4,0.0,0.8,0.0,0.8,2.9
Deposit bank - Developed Markets,Financial & insurance activities,Australia,Victoria,Service, 50-249,2016,1.0,115.9,32.2,35.3,7.4,15.7,24.0,0.4,0.0,0.0,0.0,0.9,2.9
Deposit bank - Developed Markets,Financial & insurance activities,Australia,Victoria,Service, 50-249,2015,2.0,105.4,35.6,28.9,3.4,13.6,20.9,0.9,0.0,0.0,0.0,2.1,2.9
Technology-based support services,Human health & social work,South Korea,Seoul,Service, 1-9,2020,1.0,91.3,15.1,24.9,10.1,10.3,18.9,0.9,0.0,3.5,0.0,7.3,4.3
Jewelry & related articles,Manufactured Goods,Mexico,CDMX,Manufacturing, 10-49,2018,1.0,86.6,58.6,4.5,3.0,5.1,17.3,0.7,0.0,0.2,0.0,1.4,2.9
Other financial services,Financial & insurance activities,Canada,Québec,Service, 1-9,2016,1.0,116.3,27.3,27.2,9.9,18.4,30.9,0.0,0.0,0.0,0.0,2.6,2.9
Other financial services,Financial & insurance activities,Canada,Québec,Service, 0,2015,2.0,87.9,28.3,32.6,9.5,14.7,0.0,1.2,0.0,1.5,0.0,0.0,2.9
Management consultant - for-profits,Professional & technical services,United Kingdom,Greater London,Service, 10-49,2019,1.0,101.5,21.3,20.5,7.6,14.3,32.5,2.2,0.0,0.0,0.0,2.8,2.0
Beverages,Wholesale,United States,California,Manufacturing, 1-9,2016,1.0,80.7,27.4,0.0,25.6,9.9,15.5,0.9,0.0,0.4,0.0,1.0,2.9
Beverages,Wholesale,United States,California,Wholesale/Retail, 1-9,2013,2.0,93.0,19.2,0.0,37.6,13.3,20.2,1.0,0.0,1.6,0.0,0.0,2.9
Beverages,Wholesale,United States,California,Manufacturing, 1-9,2010,3.0,90.6,34.2,17.5,13.6,7.0,18.3,0.0,0.0,0.0,0.0,0.0,2.9
Social networks & info sharing,"Information, communication & technology",Italy,Ascoli Piceno,Service, 10-49,2018,1.0,87.9,20.5,10.0,6.7,20.5,26.7,1.4,0.0,0.9,0.0,1.0,2.9
Social networks & info sharing,"Information, communication & technology",Italy,Ascoli Piceno,Service, 10-49,2016,2.0,118.1,38.2,0.0,36.1,20.7,19.6,1.5,0.0,0.0,0.0,2.0,2.9
Accommodation,Accommodation & food service,Mexico,Baja California Sur,Service with Significant Environmental Footprint, 50-249,2024,1.0,92.4,18.0,3.3,23.0,17.5,20.5,2.6,0.0,0.9,0.0,6.2,8.9
Accommodation,Accommodation & food service,Mexico,Baja California Sur,Service with Significant Environmental Footprint, 50-249,2020,2.0,84.6,13.8,3.0,20.9,14.9,20.7,2.1,0.0,3.3,0.0,5.7,7.3
Computer & electronic products,Manufactured Goods,United Kingdom,London,Manufacturing, 0,2017,1.0,106.0,11.4,75.0,2.2,17.3,23.9,0.0,0.0,0.1,0.0,1.7,2.9
Machinery & equipment,Manufactured Goods,United Kingdom,London,Manufacturing, 0,2015,2.0,111.2,12.7,76.1,2.4,19.6,0.0,0.0,0.0,0.4,0.0,0.0,2.9
Environmental consulting,Professional & technical services,Colombia,Bogotá D.C.,Service, 1-9,2018,1.0,117.8,43.2,0.0,29.8,13.2,31.5,0.0,0.0,0.0,0.0,0.0,2.9
Environmental consulting,Professional & technical services,Colombia,Bogotá D.C.,Service, 1-9,2015,2.0,100.5,27.0,0.0,37.8,6.7,26.0,1.1,0.0,1.1,0.2,0.6,2.9
Environmental consulting,Professional & technical services,Colombia,Bogotá D.C.,Service, 1-9,2013,3.0,87.9,17.8,0.0,5.8,5.9,25.5,1.9,0.0,0.7,0.2,0.0,2.9
Other info service activities,"Information, communication & technology",United Kingdom,London,Service, 1-9,2016,1.0,83.0,25.7,9.1,6.8,8.8,30.6,1.0,0.0,0.4,0.0,0.6,2.9
Environmental consulting,Professional & technical services,United States,Michigan,Service, 1-9,2016,1.0,84.4,29.8,13.0,10.7,10.8,18.2,1.1,0.0,0.8,0.0,0.0,2.9
Environmental consulting,Professional & technical services,Colombia,Bogotá D.C.,Service, 1-9,2017,1.0,81.9,27.2,0.0,6.6,17.1,29.9,1.1,0.0,0.0,0.0,0.0,2.9
General retail via Internet,Retail,Netherlands The,South Holland,Wholesale/Retail, 50-249,2022,1.0,87.0,14.8,2.0,22.2,18.3,24.0,1.4,0.0,0.0,0.0,4.0,7.3
Equity investing - Developed Markets,Financial & insurance activities,United States,Colorado,Service, 10-49,2021,1.0,97.7,13.8,32.1,3.5,14.7,28.5,2.0,0.0,0.0,0.0,2.8,0.5
Equity investing - Developed Markets,Financial & insurance activities,United States,Colorado,Service, 10-49,2017,2.0,110.7,14.3,31.8,4.0,11.8,45.9,1.2,0.0,0.0,0.0,1.7,2.9
Equity investing - Developed Markets,Financial & insurance activities,United States,Colorado,Service, 10-49,2015,3.0,106.4,16.9,33.5,7.7,11.9,32.1,0.6,0.0,0.0,0.0,3.7,2.9
Solar panel installation,Energy,Netherlands The,Groningen,Service with Significant Environmental Footprint, 50-249,2024,1.0,113.2,18.4,3.9,47.0,17.5,22.8,0.6,0.0,0.0,0.0,2.6,7.1
Solar panel installation,Energy,Netherlands The,Groningen,Service with Significant Environmental Footprint, 10-49,2021,2.0,110.2,16.4,3.3,46.8,16.1,19.9,3.0,0.0,0.0,0.0,4.4,6.6
Solar panel installation,Energy,Netherlands The,Groningen,Wholesale/Retail, 10-49,2018,3.0,99.3,19.6,7.5,45.2,8.1,16.4,0.6,0.0,0.8,0.0,0.6,2.9
Education & training services,Education,Australia,Victoria,Service, 1-9,2020,1.0,100.1,18.1,22.4,8.7,18.4,22.4,2.1,1.1,0.0,0.0,6.5,1.4
Education & training services,Education,Australia,Victoria,Service, 1-9,2016,2.0,98.8,30.3,21.3,5.8,13.3,27.2,0.0,0.0,0.0,0.0,0.9,2.9
Food products,Wholesale,Canada,Ontario,Wholesale/Retail, 0,2016,1.0,95.0,38.0,10.4,32.2,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2.9
Food products,Wholesale,Canada,Ontario,Wholesale/Retail, 1-9,2015,2.0,93.8,28.7,7.0,28.2,9.0,20.9,0.0,0.0,0.0,0.0,0.0,2.9
Computer programming services,"Information, communication & technology",United Kingdom,Cambridgeshire,Service, 10-49,2023,1.0,91.5,18.0,12.6,6.7,17.6,30.7,2.7,0.0,0.0,0.0,2.9,2.2
Food products,Retail,Canada,British Columbia,Wholesale/Retail, 250-999,2020,1.0,96.0,33.4,2.4,18.9,17.1,21.7,1.6,0.0,0.0,0.0,0.7,3.0
Food products,Retail,Canada,British Columbia,Wholesale/Retail, 250-999,2017,2.0,99.3,35.7,0.0,25.5,15.2,21.6,0.4,0.0,0.0,0.0,0.9,2.9
Food products,Retail,Canada,British Columbia,Wholesale/Retail, 50-249,2013,3.0,82.7,16.1,0.0,26.6,12.2,20.3,0.7,0.0,6.1,0.0,0.7,2.9
Other business support,Administrative & support services,Australia,Victoria,Service, 10-49,2022,1.0,109.2,15.0,6.9,36.0,22.4,21.7,2.4,0.0,0.0,0.0,4.5,3.7
Other business support,Administrative & support services,Australia,Victoria,Service, 10-49,2019,2.0,89.5,14.8,0.8,33.4,18.6,13.0,2.4,0.0,0.0,0.0,6.2,1.0
Management consultant - for-profits,Professional & technical services,Germany,Berlin,Service, 1-9,2017,1.0,88.0,26.2,15.2,10.1,8.5,27.0,1.0,0.0,0.0,0.0,0.0,2.9
Management consultant - for-profits,Professional & technical services,Germany,Berlin,Service, 1-9,2015,2.0,95.9,21.2,28.9,7.9,8.9,28.2,0.8,0.0,0.0,0.0,0.0,2.9
Beverages,Wholesale,United Kingdom,Devon,Wholesale/Retail, 1-9,2020,1.0,95.0,31.1,3.4,4.0,19.2,34.4,0.0,0.0,1.6,0.0,1.1,0.3
Other personal services,Other services,Australia,New South Wales,Service, 1-9,2015,1.0,80.3,22.3,21.5,5.6,13.3,16.1,0.8,0.0,0.6,0.0,0.0,2.9
Food products,Manufactured Goods,Canada,Alberta,Manufacturing, 1-9,2020,1.0,118.0,37.4,11.4,18.5,15.6,26.1,3.8,0.0,3.0,0.0,1.8,5.2
Contracting & building,"Real estate, design & building",United States,Hawaii,Service with Significant Environmental Footprint, 10-49,2020,1.0,137.2,31.7,3.3,62.3,13.4,17.9,3.3,0.0,3.8,0.0,0.9,8.1
Contracting & building,"Real estate, design & building",United States,Hawaii,Wholesale/Retail, 10-49,2017,2.0,121.7,39.2,0.0,53.1,7.3,18.7,0.0,0.0,2.2,0.0,1.2,2.9
Pharmaceutical products,Manufactured Goods,Chile,Santiago Metropolitan Region,Manufacturing, 50-249,2024,1.0,96.0,10.1,12.9,11.0,14.9,38.9,1.8,0.0,0.2,0.0,5.7,5.1
Pharmaceutical products,Manufactured Goods,Chile,Santiago Metropolitan Region,Manufacturing, 50-249,2021,2.0,91.1,10.5,13.5,7.4,13.7,38.5,1.7,0.0,0.8,0.0,4.8,1.7
Apparel,Retail,Canada,Quebec,Wholesale/Retail, 250-999,2021,1.0,80.7,15.1,3.7,24.6,14.1,19.0,1.5,0.0,0.5,0.0,1.8,4.3
Apparel,Retail,Canada,Quebec,Wholesale/Retail, 250-999,2018,2.0,81.7,25.7,4.5,16.2,15.6,23.2,0.0,0.0,0.0,0.0,0.9,2.9
Solar power generation,"Energy, Heating & Cooling",Brazil,Minas Gerais,Manufacturing, 10-49,2021,1.0,106.7,11.3,1.3,49.9,14.9,20.1,2.4,0.0,0.0,0.0,6.5,9.1
Solar power generation,"Energy, Heating & Cooling",Brazil,Minas Gerais,Manufacturing, 10-49,2017,2.0,104.9,22.0,0.0,52.3,7.3,22.8,0.5,0.0,0.0,0.0,0.0,2.9
Software publishing and SaaS platforms,"Information, communication & technology",United States,California,Service, 250-999,2023,1.0,96.1,19.2,23.8,4.5,13.9,33.0,0.7,0.9,0.0,0.0,0.0,0.8
Software publishing and SaaS platforms,"Information, communication & technology",United States,California,Service, 50-249,2019,2.0,115.3,18.8,41.2,7.7,10.8,34.8,0.6,0.0,0.0,0.0,1.1,0.8
Higher education,Education,Switzerland,Genève,Service, 1-9,2020,1.0,97.0,20.5,24.7,10.5,17.9,17.8,0.0,0.4,0.0,0.0,4.7,1.6
Non-life insurance,Financial & insurance activities,United States,Ohio,Service, 10-49,2016,1.0,81.1,21.1,0.0,7.1,16.1,34.0,1.7,0.0,1.1,0.0,0.0,2.9
Non-life insurance,Financial & insurance activities,United States,Ohio,Service, 10-49,2012,2.0,81.8,20.6,8.4,2.5,16.5,33.1,0.4,0.0,0.1,0.0,0.0,2.9
Restaurants & food service,Accommodation & food service,Vietnam,Tong Binh,Service, 10-49,2012,1.0,99.2,66.4,0.0,5.3,7.6,15.6,0.6,0.0,1.3,0.0,2.1,2.9
"Other professional, scientific & tech",Professional & technical services,United States,Georgia,Service, 0,2016,1.0,95.2,44.0,19.6,12.6,17.1,0.0,1.8,0.0,0.0,0.0,0.0,2.9
"Other professional, scientific & tech",Professional & technical services,United States,Georgia,Service, 0,2014,2.0,99.3,41.3,29.5,8.5,19.2,0.0,0.8,0.0,0.0,0.0,0.0,2.9
"Other professional, scientific & tech",Professional & technical services,United States,Georgia,Service with Minor Environmental Footprint, 0,2009,3.0,129.4,43.2,42.8,9.2,11.8,22.4,0.0,0.0,0.0,0.0,0.0,2.9
Spec design (non-building),Professional & technical services,France,Occitania,Service, 1-9,2020,1.0,80.2,16.0,8.1,9.2,14.3,23.1,1.6,0.0,0.6,0.0,6.9,2.8
Food products,Manufactured Goods,United States,North Carolina,Manufacturing, 50-249,2023,1.0,91.9,26.6,4.6,27.8,9.4,21.1,1.9,0.0,0.3,0.0,0.0,7.5
Food products,Manufactured Goods,United States,North Carolina,Manufacturing, 50-249,2019,2.0,80.3,25.3,3.9,17.9,7.0,24.0,1.7,0.0,0.2,0.0,0.0,4.5
Fabricated metal products,Manufactured Goods,Brazil,São Paulo,Manufacturing, 250-999,2021,1.0,96.6,18.5,4.3,27.3,18.0,24.0,0.0,0.0,1.1,0.0,3.1,4.8
Advertising & market research,Professional & technical services,United Kingdom,City of Sunderland,Service, 1-9,2024,1.0,87.5,19.4,2.8,11.5,19.7,28.1,3.0,0.0,0.0,0.0,2.6,4.1
Legal activities,Professional & technical services,Canada,British Columbia,Service, 10-49,2021,1.0,82.6,17.1,7.5,10.6,14.6,29.1,2.4,0.0,0.0,0.0,1.0,2.1
Legal activities,Professional & technical services,Canada,British Columbia,Service, 1-9,2017,2.0,101.6,24.2,14.6,12.3,13.6,36.1,0.0,0.0,0.0,0.0,0.8,2.9
Legal activities,Professional & technical services,Canada,British Columbia,Service, 1-9,2015,3.0,83.4,23.5,16.0,12.1,12.0,19.8,0.0,0.0,0.0,0.0,0.0,2.9
Membership organizations,Other services,United States,California,Service, 1-9,2012,1.0,124.4,26.8,51.8,6.6,17.4,19.1,1.3,0.0,0.3,0.0,0.8,2.9
Hairdressing & other beauty services,Other services,Chile,Santiago Metropolitan Region,Wholesale/Retail, 1-9,2016,1.0,84.5,22.5,0.0,31.4,13.0,14.2,1.0,0.0,2.0,0.0,0.4,2.9
Hairdressing & other beauty services,Other services,Chile,Santiago Metropolitan Region,Service, 1-9,2014,2.0,88.7,31.4,0.0,19.0,12.9,22.6,1.3,0.0,0.7,0.0,0.5,2.9
Advertising & market research,Professional & technical services,Chile,Santiago Metropolitan Region,Service, 0,2015,1.0,82.6,54.5,8.0,1.7,16.4,0.0,1.1,0.0,0.4,0.5,0.0,2.9
Personal care products,Retail,United Kingdom,Hertfordshire,Wholesale/Retail, 0,2021,1.0,127.3,63.2,4.0,30.9,18.5,23.9,6.0,0.0,4.4,0.0,1.7,3.8
Other business support,Administrative & support services,United States,Utah,Service with Significant Environmental Footprint, 50-249,2022,1.0,83.3,10.2,1.3,27.7,16.6,21.0,1.1,0.0,5.1,0.0,0.0,0.0
Software publishing and SaaS platforms,"Information, communication & technology",France,Centre-Val de Loire,Service, 10-49,2024,1.0,85.4,8.9,20.5,8.2,15.7,28.9,1.3,0.0,0.6,0.0,0.9,2.1
Software publishing and SaaS platforms,"Information, communication & technology",France,Centre-Val de Loire,Service, 10-49,2020,2.0,82.3,14.7,17.6,5.1,16.6,18.8,2.3,0.0,0.4,0.0,6.5,0.2
"Other professional, scientific & tech",Professional & technical services,Argentina,Autonomous City Of Buenos Aires,Service, 1-9,2021,1.0,83.4,12.1,2.6,27.5,17.6,12.7,1.6,0.0,2.9,0.0,5.9,0.0
Computer programming services,"Information, communication & technology",United Kingdom,Manchester,Service, 1-9,2024,1.0,84.8,22.3,4.5,5.2,17.8,30.0,0.0,0.0,4.7,0.0,0.0,0.7
Management consultant - for-profits,Professional & technical services,South Africa,Gauteng,Service, 250-999,2019,1.0,83.9,20.1,5.5,5.4,18.9,27.1,1.6,0.0,0.3,0.0,4.7,0.2
Management consultant - for-profits,Professional & technical services,South Africa,Gauteng,Service, 250-999,2017,2.0,93.4,29.2,11.7,10.0,13.7,28.8,0.0,0.0,0.0,0.0,0.0,2.9
Management consultant - for-profits,Professional & technical services,United Kingdom,London,Service, 1-9,2017,1.0,99.9,13.4,26.7,8.8,18.0,30.2,0.5,0.0,0.5,0.0,1.8,2.9
Management consultant - for-profits,Professional & technical services,United Kingdom,London,Service, 1-9,2015,2.0,82.3,12.5,30.0,4.4,10.1,23.3,0.5,0.0,0.9,0.0,0.6,2.9
Software publishing and SaaS platforms,"Information, communication & technology",Argentina,Buenos Aires,Service, 1-9,2020,1.0,90.5,32.3,2.2,8.7,21.2,18.8,2.3,0.0,0.0,0.0,4.6,1.7
Software publishing and SaaS platforms,"Information, communication & technology",Argentina,Buenos Aires,Service, 10-49,2017,2.0,97.7,34.8,0.0,7.9,14.6,38.5,1.9,0.0,0.0,0.0,0.0,2.9
Other business support,Administrative & support services,Taiwan,Taipei,Service with Significant Environmental Footprint, 10-49,2021,1.0,93.4,29.6,14.6,8.8,7.7,17.9,3.2,0.0,8.6,0.0,2.8,1.0
Other business support,Administrative & support services,Taiwan,Taipei,Service, 1-9,2017,2.0,80.5,21.6,14.3,9.9,9.0,23.5,0.9,0.0,0.0,0.0,1.3,2.9
Water supply & treatment,Water & Sewerage,United States,Virginia,Manufacturing, 1-9,2016,1.0,127.9,25.5,59.2,13.7,17.0,12.1,0.4,0.0,0.0,0.0,0.0,2.9
Agricultural Processing,"Agriculture, forestry & fishing",Italy,Palermo,Agriculture/Growers, 50-249,2020,1.0,84.8,14.7,3.5,19.9,13.3,18.3,3.8,0.7,7.4,0.0,2.8,4.3
Games & toys,Wholesale,Canada,British Columbia,Wholesale/Retail, 0,2012,1.0,112.5,52.6,23.5,14.8,13.6,0.0,3.1,0.0,0.7,4.0,0.0,2.9
Games & toys,Wholesale,Canada,British Columbia,Wholesale/Retail, 0,2010,2.0,88.6,34.3,26.1,16.2,12.0,23.9,0.0,0.0,0.0,0.0,1.7,2.9
"Other professional, scientific & tech",Professional & technical services,United Kingdom,City of London,Service, 10-49,2023,1.0,82.6,13.1,5.0,7.5,15.3,36.3,1.9,0.0,0.0,0.0,3.1,0.9
Social networks & info sharing,"Information, communication & technology",Netherlands The,Noord Holland,Service, 1-9,2017,1.0,93.9,52.7,3.3,3.6,10.2,23.4,0.7,0.0,0.0,0.0,0.0,2.9
Social networks & info sharing,"Information, communication & technology",Netherlands The,Noord Holland,Service, 1-9,2015,2.0,147.5,88.8,11.8,1.1,11.1,21.3,0.6,0.0,0.0,0.0,0.7,2.9
Scientific R&D,Professional & technical services,France,Île-de-France,Service with Significant Environmental Footprint, 250-999,2024,1.0,96.0,18.3,6.0,22.1,17.1,32.2,0.0,0.0,11.3,0.0,2.5,2.9
Scientific R&D,Professional & technical services,France,Île-de-France,Service with Significant Environmental Footprint, 250-999,2021,2.0,88.4,17.1,3.6,20.1,17.1,30.2,0.0,0.0,10.2,0.0,5.2,2.9
Other info service activities,"Information, communication & technology",Australia,Victoria,Service, 10-49,2016,1.0,83.2,23.0,15.4,10.7,10.6,21.6,0.9,0.0,0.0,0.0,1.1,2.9
Employment placement & HR,Administrative & support services,United States,Georgia,Service, 10-49,2018,1.0,108.9,24.4,55.4,0.7,12.2,13.5,1.6,0.0,0.0,0.0,0.7,2.9
Other manufacturing,Manufactured Goods,Chile,Santiago Metropolitan Region,Manufacturing, 10-49,2015,1.0,91.2,46.5,0.0,18.9,6.1,19.2,0.0,0.0,0.0,0.0,0.5,2.9
Other education,Education,Australia,Victoria,Service, 10-49,2017,1.0,80.1,23.2,7.6,12.0,12.3,23.2,0.9,0.0,0.0,0.0,0.9,2.9
Other education,Education,Australia,Victoria,Service, 1-9,2014,2.0,80.8,31.0,8.5,10.2,10.4,20.5,0.0,0.0,0.0,0.0,0.0,2.9
Management consultant - nonprofits,Professional & technical services,United States,Washington,Service, 10-49,2016,1.0,96.7,23.0,28.3,10.0,8.1,24.5,0.9,0.0,0.4,0.0,1.5,2.9
Management consultant - nonprofits,Professional & technical services,United States,Washington,Service, 10-49,2014,2.0,87.3,18.6,24.9,9.4,7.9,23.0,0.7,0.0,0.0,0.0,2.7,2.9
Management consultant - nonprofits,Professional & technical services,United States,Washington,Service, 10-49,2012,4.0,91.9,14.4,30.8,5.9,11.8,23.9,0.5,0.0,0.3,0.8,3.0,2.9
Management consultant - nonprofits,Professional & technical services,United States,Washington,Service, 10-49,2012,4.0,91.9,14.4,30.8,5.9,11.8,23.9,0.5,0.0,0.3,0.8,3.0,2.9
Software publishing and SaaS platforms,"Information, communication & technology",Canada,British Columbia,Service, 50-249,2019,1.0,80.1,14.7,4.4,8.0,11.3,36.4,2.1,0.0,0.0,0.0,2.9,0.9
Management consultant - nonprofits,Professional & technical services,Canada,Ontario,Service, 1-9,2017,1.0,92.5,21.2,15.4,6.7,13.7,30.5,2.4,0.0,0.0,0.0,2.6,2.9
Food products,Retail,Argentina,Buenos Aires,Wholesale/Retail, 1-9,2013,1.0,84.7,19.9,0.0,22.8,6.9,26.1,0.7,0.0,6.5,0.0,1.5,2.9
Other personal services,Other services,France,Pays de la Loire,Service, 50-249,2022,1.0,91.2,20.1,3.7,10.1,18.5,36.8,0.0,0.0,0.0,0.0,1.7,2.1
General stores,Retail,Brazil,São Paulo,Wholesale/Retail, 1-9,2020,1.0,81.3,14.4,3.2,27.6,11.4,10.2,3.1,0.0,3.6,0.0,7.6,6.6
Personal care products,Wholesale,Australia,New South Wales,Wholesale/Retail, 1-9,2020,1.0,124.8,40.5,3.3,41.3,16.1,14.4,3.0,0.0,0.0,0.0,5.9,7.8
Pharmaceutical products,Wholesale,Australia,New South Wales,Wholesale/Retail, 1-9,2018,2.0,106.8,58.6,0.0,20.9,10.6,16.1,0.5,0.0,0.0,0.0,0.0,2.9
Education & training services,Education,Chile,Santiago Metropolitan Region,Service, 1-9,2016,1.0,91.7,31.8,15.4,6.8,9.6,26.5,0.0,0.0,0.8,0.0,0.8,2.9
Design & building,Accommodation & food service,Mexico,Distrito Federal,Service, 50-249,2015,1.0,111.0,25.3,40.7,6.7,11.6,25.7,0.0,0.0,0.3,0.0,0.6,2.9
Environmental consulting,Professional & technical services,Germany,Bavaria,Service, 10-49,2023,1.0,101.4,23.4,19.2,10.4,17.3,29.9,0.0,0.0,0.0,0.0,1.0,3.4
Environmental consulting,Professional & technical services,Germany,Bavaria,Service, 1-9,2019,2.0,82.4,15.7,28.5,5.5,12.9,14.4,2.1,0.0,0.0,0.0,3.0,1.5
Other install & construction,"Real estate, design & building",United Kingdom,Liverpool,Service with Significant Environmental Footprint, 10-49,2023,1.0,90.4,27.7,2.3,18.8,17.3,17.5,2.5,0.0,2.6,0.0,1.3,6.6
Animal Production,"Agriculture, forestry & fishing",United States,Texas,Agriculture/Growers, 250-999,2024,1.0,98.6,16.5,2.9,27.4,17.3,24.5,3.5,0.2,5.3,0.0,0.6,1.3
Food products,Manufactured Goods,United States,Texas,Manufacturing, 50-249,2021,2.0,98.7,37.0,1.4,19.3,14.9,22.8,1.6,0.0,0.8,0.0,0.5,1.6
Food products,Manufactured Goods,United States,Texas,Manufacturing, 50-249,2018,3.0,108.9,42.9,0.0,26.3,16.6,23.0,0.0,0.0,0.1,0.0,0.0,2.9
Other renewable energy installation,Energy,Indonesia,Jakarta,Service with Significant Environmental Footprint, 10-49,2024,1.0,110.8,17.8,1.6,27.4,17.8,30.6,4.3,0.0,9.4,0.0,1.5,0.2
Other renewable energy installation,Energy,Indonesia,Jakarta,Service with Significant Environmental Footprint, 10-49,2020,2.0,80.8,17.1,2.0,22.4,8.8,18.5,0.6,0.0,6.4,0.0,4.7,0.0
Books or other media,Wholesale,United States,Kentucky,Wholesale/Retail, 10-49,2018,1.0,86.0,12.5,20.5,20.6,12.8,18.2,0.0,0.0,0.1,0.0,1.1,2.9
Books or other media,Wholesale,United States,Kentucky,Wholesale/Retail, 10-49,2016,2.0,86.8,18.0,20.6,19.8,7.5,20.2,0.5,0.0,0.2,0.0,0.0,2.9
"Other professional, scientific & tech",Professional & technical services,United Kingdom,London Borough of Southwark,Service, 1-9,2024,1.0,119.1,14.2,39.1,8.5,17.9,28.4,2.3,0.0,6.3,0.0,2.0,4.6
"Other professional, scientific & tech",Professional & technical services,United Kingdom,London,Service, 1-9,2021,2.0,107.3,17.0,39.1,4.8,14.7,26.4,0.0,0.0,4.3,0.0,0.8,1.0
Mobile applications,"Information, communication & technology",Italy,Province of Treviso,Service, 50-249,2020,1.0,81.8,13.4,3.6,6.5,18.0,32.1,0.5,0.0,0.9,0.0,6.5,1.6
Environmental consulting,Professional & technical services,United States,Pennsylvania,Service, 1-9,2015,1.0,109.9,32.2,0.0,44.1,15.6,18.0,0.0,0.0,0.0,0.0,0.0,2.9
Environmental consulting,Professional & technical services,United States,Pennsylvania,Service, 1-9,2012,2.0,101.1,19.9,0.0,43.0,13.0,21.8,1.3,0.0,0.0,1.0,0.9,2.9
Food products,Wholesale,United States,New York,Wholesale/Retail, 50-249,2015,1.0,97.2,37.5,0.0,29.4,16.3,13.9,0.0,0.0,0.1,0.0,0.0,2.9
